pt,comparator,a_dato_cases,b_dato_without_pt,c_comparator_cases,d_comparator_without_pt,n_dato,n_comparator,ror,ror_ci_lower,ror_ci_upper,prr,chi2_yates,ic,ic025,expected_count,ebgm,eb05,ror_signal,prr_signal,bcpnn_signal,mgps_signal,consensus_signal,four_algorithm_signal
Metastases to liver,active_breast_comparator,3,179,69,4038,182,4107,0.9808112703424824,0.3057539977084609,3.1462900084403826,0.9811275680840899,0.0,-0.02259918812219739,-2.1518042399960065,3.0552576358125436,1.0730726836351716,0.4106857595846368,False,False,False,False,False,False
Dyspnoea,active_breast_comparator,7,175,164,3943,182,4107,0.9617073170731707,0.4446333758116968,2.0800979279247027,0.9631801125703565,0.0,-0.048466270197581617,-1.4965649515827733,7.256236885054792,1.003241797927147,0.5293981943437963,False,False,False,False,False,False
Pleural effusion,active_breast_comparator,2,180,49,4058,182,4107,0.9201814058956916,0.22202280358753693,3.8137245637578387,0.9210585333034313,0.0,-0.09174224979250845,-2.581637378648031,2.1641408253672183,1.0559836271551624,0.33386422491262147,False,False,False,False,False,False
Interstitial lung disease,active_breast_comparator,7,175,178,3929,182,4107,0.8829213483146068,0.4086948467960746,1.9074135957937663,0.8874243733794296,0.017061210301369947,-0.15493998428180505,-1.577489856572328,7.850314758685008,0.9283817393633762,0.4898954743474659,False,False,False,False,False,False
Hypoaesthesia,active_breast_comparator,1,181,26,4081,182,4107,0.8671908202294942,0.11702425747739059,6.426188338222059,0.8679205409974642,0.0,-0.13375781262546932,-3.3257876152271924,1.145721613429704,1.1248213800974896,0.2470479608625335,False,False,False,False,False,False
Seizure,active_breast_comparator,1,181,28,4079,182,4107,0.8048539857932123,0.1088988385102236,5.948547728416816,0.8059262166405025,0.0,-0.20630137151730538,-3.360788901877366,1.2305898810911635,1.0536794199706865,0.23142283451619117,False,False,False,False,False,False
Hepatic failure,active_breast_comparator,1,181,28,4079,182,4107,0.8048539857932123,0.1088988385102236,5.948547728416816,0.8059262166405025,0.0,-0.20630137151730538,-3.360788901877366,1.2305898810911635,1.0536794199706865,0.23142283451619117,False,False,False,False,False,False
Decreased appetite,active_breast_comparator,3,179,85,4022,182,4107,0.7930331909300032,0.24833248497373758,2.532498484775894,0.7964447317388494,0.01566118010008866,-0.2747357807180564,-2.3175012866207476,3.73420377710422,0.8836133354653257,0.33817598694746764,False,False,False,False,False,False
Sepsis,active_breast_comparator,1,181,32,4075,182,4107,0.7035566298342542,0.09560242755473246,5.177608393890947,0.7051854395604397,0.0,-0.34128474883241794,-3.4296679587098047,1.4003264164140825,0.9353612040162318,0.2054362427767032,False,False,False,False,False,False
Dizziness,active_breast_comparator,1,181,33,4074,182,4107,0.682069311903566,0.09276715001308719,5.014906097416736,0.6838161838161839,0.0,-0.3731455956408979,-3.446613991383048,1.4427605502448122,0.9098201580630852,0.19982658471661705,False,False,False,False,False,False
Metastases to central nervous system,active_breast_comparator,2,180,67,4040,182,4107,0.6699834162520729,0.16285939597879737,2.7562289259088106,0.6736099721174349,0.06639069138780246,-0.4554201745263757,-2.807193676406868,2.9279552343203545,0.7905939946085269,0.24995752248700828,False,False,False,False,False,False
Hypersensitivity,active_breast_comparator,1,181,34,4073,182,4107,0.6618459538511537,0.0900938914267429,4.862039586616397,0.6637039431157079,0.0,-0.4043179958046118,-3.4634410746084447,1.4851946840755421,0.8856368881551119,0.19451513916315924,False,False,False,False,False,False
Fatigue,active_breast_comparator,5,177,170,3937,182,4107,0.6542040545031572,0.26544906794354295,1.612297787458781,0.6637039431157078,0.5438389270714858,-0.5271565106224775,-2.0964199305060647,7.42597342037771,0.7155742894603642,0.3367200343174574,False,False,False,False,False,False
Metastases to lung,active_breast_comparator,1,181,35,4072,182,4107,0.6427782162588792,0.08756915276853501,4.718143572646311,0.644740973312402,0.0005262580747850216,-0.4348310729327087,-3.480145880011359,1.5276288179062718,0.8627059274484278,0.1894787421107542,False,False,False,False,False,False
Acute kidney injury,active_breast_comparator,1,181,39,4068,182,4107,0.5762855928601784,0.07873264724218706,4.2181368996349,0.5786136939983094,0.02419174287394075,-0.5508122641105486,-3.545696419341328,1.697365353229191,0.7817422664514493,0.1716964455548909,False,False,False,False,False,False
Alopecia,active_breast_comparator,2,180,80,4027,182,4107,0.5593055555555555,0.13640477767685696,2.2933412582980477,0.5641483516483516,0.2936177638092012,-0.6706949622136312,-2.952691676917793,3.4795989741198414,0.6691393361886128,0.2115579068560041,False,False,False,False,False,False
Pain,active_breast_comparator,1,181,45,4062,182,4107,0.4987108655616943,0.06835962986851639,3.63829540779654,0.5014652014652016,0.11047415862332906,-0.7089789188684252,-3.6401031044167853,1.9519701562135696,0.6852743124918264,0.15050889370355602,False,False,False,False,False,False
Cardiac failure,active_breast_comparator,1,181,45,4062,182,4107,0.4987108655616943,0.06835962986851639,3.63829540779654,0.5014652014652016,0.11047415862332906,-0.7089789188684252,-3.6401031044167853,1.9519701562135696,0.6852743124918264,0.15050889370355602,False,False,False,False,False,False
Neutrophil count decreased,active_breast_comparator,2,180,92,4015,182,4107,0.48490338164251207,0.11852224208033729,1.9838579274341257,0.490563784042045,0.5933213211539825,-0.8444044806610181,-3.0759031686308504,3.9888085800885986,0.5860352632726202,0.18528337363627362,False,False,False,False,False,False
Abdominal pain,active_breast_comparator,1,181,52,4055,182,4107,0.4308329791755206,0.05922652906007545,3.134018806960256,0.4339602704987321,0.2637633238811329,-0.8739491782088968,-3.7443379521094764,2.249009093028678,0.5990327128972902,0.13156738734678083,False,False,False,False,False,False
Death,active_breast_comparator,4,178,208,3899,182,4107,0.42124027657735524,0.15485441091566454,1.145872239361683,0.4339602704987321,2.468624912205015,-1.077400459418829,-2.695688035362193,8.996036372114713,0.4825998782446533,0.20850982409976185,False,False,False,False,False,False
Back pain,active_breast_comparator,1,181,61,4046,182,4107,0.36645231410198353,0.05051474646599578,2.6583781550026155,0.36993334534318145,0.5151207399325658,-1.0616224389952065,-3.869529427841668,2.630916297505246,0.5156044043809549,0.11324377271617643,False,False,False,False,False,False
Erythema,active_breast_comparator,1,181,71,4036,182,4107,0.31406116255544314,0.043389757610336144,2.2732188253151286,0.317830057266677,0.8408928020125097,-1.2449916094586453,-3.998085919078391,3.0552576358125436,0.4465088011015563,0.09806809398462306,False,False,False,False,False,False
Pneumonitis,active_breast_comparator,1,181,78,4029,182,4107,0.2853803654908627,0.03947569340701977,2.063091132256487,0.2893068469991547,1.0888897432930933,-1.3607562739526893,-4.082173995596312,3.3522965726276523,0.4082156193995055,0.0896576453375586,False,False,False,False,False,False
Anaemia,active_breast_comparator,1,181,83,4024,182,4107,0.26785595420355457,0.03707939214935176,1.9349511424919899,0.2718787236859526,1.2736284561371272,-1.4381037598174482,-4.139541494702245,3.564467241781301,0.3846525425018368,0.08448241467230255,False,False,False,False,False,False
White blood cell count decreased,active_breast_comparator,1,181,122,3985,182,4107,0.18046372611176523,0.02507532314489133,1.2987731505576716,0.18496667267159073,2.8496602532118285,-1.9309009185362283,-4.524843210235868,5.219398461179762,0.26523505914133216,0.058254387469449054,False,False,False,False,False,False
Asthenia,active_breast_comparator,1,181,159,3948,182,4107,0.13718336286875846,0.019096933961328517,0.9854605501642661,0.14192411362222682,4.470232265176699,-2.2808497232112224,-4.816085716755817,6.789461412916764,0.2048883395630578,0.045000252830522045,False,False,False,False,False,False
Vomiting,active_breast_comparator,1,181,180,3927,182,4107,0.1205340699815838,0.016791207550258213,0.8652422395971113,0.1253663003663004,5.422770849638814,-2.447240319278957,-4.958800732729092,7.680578223362089,0.18145619164191595,0.03985377849692997,False,False,False,False,False,False
Diarrhoea,active_breast_comparator,1,181,209,3898,182,4107,0.10304263924502366,0.014365296228921291,0.7391275009841825,0.10797097639202903,6.7681874207111905,-2.6494112991629253,-5.135398216037302,8.911168104453253,0.15670695381100463,0.034418027677098846,False,False,False,False,False,False
Myelosuppression,active_breast_comparator,1,181,466,3641,182,4107,0.043167429397956036,0.006033426803031954,0.30885051259610874,0.04842475121445079,19.84087723106739,-3.7596345571425456,-6.152139793636461,19.816740498950804,0.07094926541873232,0.01558280421810023,False,False,False,False,False,False
Prescribed underdose,active_breast_comparator_class_exclusion,9,173,0,2129,182,2129,233.20172910662825,13.515403118174875,4023.782789370853,221.14754098360658,92.88887486361187,2.974370952957188,0.2437304766234245,0.7087840761575076,10.466049828123639,6.04484180781128,True,True,True,True,True,True
Stomatitis,active_breast_comparator_class_exclusion,40,142,12,2117,182,2129,49.694835680751176,25.502760761084655,96.83566091029854,38.99267399267399,339.90502084704474,3.139723326755076,1.7477972198941534,4.095196884465599,9.43987212458909,7.2503147189721435,True,True,True,True,True,True
Disease progression,active_breast_comparator_class_exclusion,78,104,65,2064,182,2129,23.815384615384616,16.227821421738142,34.95062766829173,14.037362637362635,450.7903683783848,2.7385848409697977,1.8544652393172432,11.261791432280399,6.861135098850545,5.681303162921362,True,True,True,True,True,True
Carcinoembryonic antigen increased,active_breast_comparator_class_exclusion,4,178,0,2129,182,2129,107.36974789915966,5.7574464367329865,2002.3221910286184,104.75409836065573,35.74034445357259,2.4650262279625506,-0.9390068145818375,0.31501514495889227,8.881635982721322,4.020797738703118,True,True,False,True,False,False
Underdose,active_breast_comparator_class_exclusion,4,178,0,2129,182,2129,107.36974789915966,5.7574464367329865,2002.3221910286184,104.75409836065573,35.74034445357259,2.4650262279625506,-0.9390068145818375,0.31501514495889227,8.881635982721322,4.020797738703118,True,True,False,True,False,False
Tumour marker increased,active_breast_comparator_class_exclusion,3,179,0,2129,182,2129,83.04456824512535,4.272601781223694,1614.0985441999499,81.47540983606558,24.75280987910438,2.2490650305602267,-1.3764687612102855,0.2362613587191692,8.251043813893535,3.378348423961719,True,True,False,True,False,False
Keratitis,active_breast_comparator_class_exclusion,3,179,0,2129,182,2129,83.04456824512535,4.272601781223694,1614.0985441999499,81.47540983606558,24.75280987910438,2.2490650305602267,-1.3764687612102855,0.2362613587191692,8.251043813893535,3.378348423961719,True,True,False,True,False,False
Catheter site infection,active_breast_comparator_class_exclusion,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
Malignant pleural effusion,active_breast_comparator_class_exclusion,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
Lung opacity,active_breast_comparator_class_exclusion,2,180,0,2129,182,2129,58.988919667590025,2.821112638555179,1233.446901762668,58.19672131147541,14.232891147181151,1.926848679832699,-1.9922159621517455,0.15750757247944613,7.372249695834507,2.600305669042694,False,False,False,False,False,False
No adverse event,active_breast_comparator_class_exclusion,4,178,1,2128,182,2129,47.82022471910113,5.3162716672222645,430.1461692194077,46.791208791208796,26.65575562403192,2.331951201053823,-0.9426460671879675,0.39376893119861534,7.772641259213264,3.5187456972560605,True,True,False,True,False,False
Vascular pain,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Skin burning sensation,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Rectal prolapse,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Completed suicide,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Cardiac failure congestive,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Amylase increased,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Incorrect product formulation administered,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Aphthous ulcer,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Sialoadenitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Wound infection,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Angular cheilitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Injection site reaction,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Ocular discomfort,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Eye irritation,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Migraine,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Ulcerative keratitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Psychiatric symptom,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Product dose omission issue,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Fungal pharyngitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Malignant ascites,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Corneal epitheliopathy,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Infectious iridocyclitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Intraocular pressure increased,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Faeces soft,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Breast haemorrhage,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Pelvic fracture,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Glossodynia,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Melaena,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Procedural shock,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Anuria,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Disseminated intravascular coagulation,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Urinary bladder rupture,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Abnormal sensation in eye,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Laryngopharyngitis,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Compression fracture,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Corneal erosion,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Discouragement,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Paraesthesia oral,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Incorrect drug administration rate,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Respiratory syncytial virus test positive,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Duodenal perforation,active_breast_comparator_class_exclusion,1,181,0,2129,182,2129,35.19834710743802,1.4286732944817016,867.1847117749554,34.91803278688525,4.866838125032408,1.3739408690129156,-3.0016789906613597,0.07875378623972307,6.065999082771985,1.6598530182667834,False,False,False,False,False,False
Inflammation,active_breast_comparator_class_exclusion,2,180,1,2128,182,2129,23.644444444444446,2.1336020952921038,262.0262486243391,23.395604395604398,7.347003690623798,1.7636382033899847,-1.9858016898061406,0.2362613587191692,6.145325973326602,2.167550832629203,False,False,False,False,False,False
Osteonecrosis of jaw,active_breast_comparator_class_exclusion,3,179,3,2126,182,2129,11.87709497206704,2.3798204112359236,59.275642947460895,11.697802197802199,9.467658846851066,1.8475510661234253,-1.3937769891208187,0.4725227174383384,5.503360212495997,2.253323181858864,True,True,False,True,False,False
Cerebral haemorrhage,active_breast_comparator_class_exclusion,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Ocular hyperaemia,active_breast_comparator_class_exclusion,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Somnolence,active_breast_comparator_class_exclusion,2,180,2,2127,182,2129,11.816666666666666,1.6546915983521215,84.3864870349071,11.697802197802199,4.8469752347761395,1.6170293214076006,-1.989757921131663,0.31501514495889227,5.268515394866167,1.8582862781288971,False,False,False,False,False,False
Cerebrovascular accident,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Intentional product use issue,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Skin irritation,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Erythema multiforme,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Swelling,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Coronavirus infection,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Leukoencephalopathy,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Herpes zoster,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Conjunctivitis,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Osteomyelitis,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Metastases to pleura,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Oral candidiasis,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Oral discomfort,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Hypoacusis,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
Feeling abnormal,active_breast_comparator_class_exclusion,1,181,1,2128,182,2129,11.756906077348066,0.732297204737918,188.75511147287963,11.697802197802199,0.8090974005278107,1.1898830856664928,-2.992374385528655,0.15750757247944613,4.854913095199001,1.3284608264079263,False,False,False,False,False,False
